UID,mean.annual.flow,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.ISC,tmax.annual,tmin.annual,pct.ag,pct.urb,pct.for
11213,797.99267,2989.073,519.362,366.373,313.478,205.884,1.257,12.7,0.49,12.418,7.567,38.311
11214,1691.08135,6340.566,519.362,337.453,173.122,346.24,1.363,13.79,2.24,19.668,7.637,40.421
11215,462.62222,1917.362,341.788,230.54,194.854,146.934,1.371,14.13,2.42,71.038,6.936,9.94
11217,1634.05423,6127.243,519.362,341.053,182.988,336.374,1.35,13.91,1.66,19.451,7.611,40.376
11218,614.77303,1291.472,577.591,401.28,189.787,387.804,0.259,11.22,-1,2.836,2.375,68.426
11219,870.44758,1977.64,360.964,241.785,178.687,182.277,0.317,10.19,-0.95,0.629,2.256,35.176
11220,1124.15779,3226.962,439.125,260.75,182.116,257.009,0.765,11.52,1.33,10.043,5.701,44.211
11221,1207.67949,4521.484,519.362,358.837,263.931,255.431,1.344,13.37,1.22,16.557,7.59,39.303
11222,1763.01096,7605.886,382.852,259.273,188.923,193.93,3.243,14.07,2.15,59.861,12.406,12.538
11228,4.1367,17.948,375.762,331.879,262.216,113.547,0.824,13.58,2.09,61.621,5.272,17.114
11229,,,,,,,,,,,,
11230,9.52377,87.137,394.161,365.833,331.471,62.69,0.766,16.55,4.17,91.024,6.599,0.132
11231,,,,,,,,,,,,
11232,3.76359,63.562,446.483,417.253,387.286,59.197,0.56,13.77,1.81,92.46,6.136,0.034
11233,6.91144,33.093,366.043,341.953,315.262,50.78,1.058,13.58,2.22,91.271,5.996,0.258
11234,6.02293,31.576,329.193,317.985,300.792,28.401,0.922,13.71,2.31,89.072,7.325,1.848
11235,16.69053,177.624,394.161,352.062,300.163,93.997,0.683,16.89,4.43,86.992,6.081,0.711
11236,21.73425,92.379,392.532,360.153,304.821,87.711,1.042,13.25,2.02,80.566,5.727,6.478
11237,11.15601,54.976,335.642,320.636,292.605,43.037,0.38,14.25,2.74,93.212,5.26,0.146
11238,29.29155,660.993,423.057,375.661,310.504,112.553,0.852,16.5,4.16,86.738,5.086,5.178
11239,8.74117,34.904,376.342,337.769,257.803,118.539,0.77,13.75,2.42,65.793,5.986,16.142
11240,1.83859,11.663,383.098,340.087,296.698,86.4,1.329,16.95,4.4,85.964,9.013,3.48
11241,1.12229,23.161,434.312,400.556,366.141,68.171,0.651,15.63,3.45,87.564,4.816,0.249
11242,97.7884,543.536,360.172,323.685,277.718,82.454,0.807,15.05,3.36,89.896,7.212,0.086
11244,0.0247,4.603,445.951,400.64,349.469,96.481,0.164,15.14,2.66,63.042,2.855,12.573
11245,13.75983,99.733,396.455,377.349,362.2,34.255,0.647,13.19,1.81,88.978,6.543,0.324
11246,0.38008,1.13,310.566,283.673,266.017,44.549,0.957,14.57,2.77,90.518,7.331,0.08
11247,148.52226,700.429,384.771,336.979,235.86,148.911,0.868,14.25,2.23,72.714,5.735,11.722
11248,12.66292,73.772,421.865,370.574,311.997,109.869,0.298,15.34,3.38,72.846,3.244,20.586
11249,4.03563,18.395,349.193,327.727,286.28,62.912,0.754,15.79,4.1,62.028,4.408,21.816
11250,8.23218,38.757,361.01,321.364,256.012,104.997,0.423,13.92,2.32,71.462,4.078,14.292
11251,0.06529,5.366,358.133,340.662,310.793,47.34,0.414,16.26,4.38,84.995,3.961,10.49
11254,66.75921,155.149,314.064,274.984,211.77,102.294,0.413,17.61,5.83,40.451,3.341,54.031
11255,145.06239,307.14,315.221,285.407,250.778,64.443,0.6,16.38,4.85,87.894,6.067,4.488
11256,78.37936,266.757,444.311,369.134,316.336,127.975,0.468,12.04,0.16,4.229,4.862,55.123
